phi,sigma,total_time,max_ac225_yield,time_to_peak
353111691382140.25,1e-24,225.05043547850565,2.63598385385183e+19,225.05043547850565
521429790530054.06,1e-24,351.7103342390883,7.85219715320685e+19,351.7103342390883
15429601005519.729,1e-24,488.0549523020104,3.668482040334227e+18,488.0549523020104
332873639155783.9,1e-24,395.1715095857074,5.935357189001681e+19,395.1715095857074
18039615030067.844,1e-24,230.6891095688279,1.4029579948503373e+18,230.6891095688279
55156417269609.586,1e-24,464.1148445358149,1.227336063211998e+19,464.1148445358149
193968068040676.53,1e-24,413.1531905027067,3.6825255063052644e+19,413.1531905027067
77059892291730.12,1e-24,121.34697367454068,1.964745600916307e+18,121.34697367454068
128578860921046.69,1e-24,41.27045549104591,4.305733519337594e+17,41.27045549104591
452128979158967.5,1e-24,319.5155555698118,5.895706829481052e+19,319.5155555698118
328227889435858.3,1e-24,183.7177243836355,1.7402534760911823e+19,183.7177243836355
873767825544199.2,1e-24,447.62934944787685,1.8512386791586614e+20,447.62934944787685
360385238768477.9,1e-24,105.37296684746411,7.104837211776524e+18,105.37296684746411
85791054790017.22,1e-24,31.4638452357421,1.696266769378479e+17,31.4638452357421
20350682753671.473,1e-24,344.69398708880277,2.975117483713894e+18,344.69398708880277
308691244628076.3,1e-24,484.0797688927629,7.259992382501336e+19,484.0797688927629
44838462907863.53,1e-24,191.52525595708576,2.552829632015539e+18,191.52525595708576
86918379856775.28,1e-24,102.84096595129999,1.6387918503807247e+18,102.84096595129999
18190431896729.695,1e-24,243.09541385070753,1.5414372113029773e+18,243.09541385070753
28432738978688.223,1e-24,338.2088573944301,4.040512295109468e+18,338.2088573944301
74869311220865.33,1e-24,418.01231606834034,1.444856619446685e+19,418.01231606834034
251495491521365.06,1e-24,163.0596542772001,1.0846629438836974e+19,163.0596542772001
461869838886613.44,1e-24,404.3345351734329,8.506096763724815e+19,404.3345351734329
59560283744693.88,1e-24,151.2807709258196,2.2520860176532751e+18,151.2807709258196
231734666890075.2,1e-24,78.47871696856181,2.644356139152322e+18,78.47871696856181
25108247729595.38,1e-24,13.607512177992701,9555998881532176.0,13.607512177992701
374842438956314.0,1e-24,335.77691973009576,5.268691045917523e+19,335.77691973009576
257235413340662.34,1e-24,392.55722520076426,4.543791530793113e+19,392.55722520076426
