time_h,N_Ra226,N_Ac225
52.0,6.0218717939029755e+23,1.0461210613732018e+19
52.400000000000006,6.021870807712808e+23,1.053569945238857e+19
52.800000000000004,6.021869821522802e+23,1.0610101580488196e+19
53.2,6.0218688353329576e+23,1.068441709895241e+19
53.6,6.021867849143274e+23,1.075864610858533e+19
54.0,6.0218668629537526e+23,1.0832788710073842e+19
54.400000000000006,6.0218658767643926e+23,1.0906845003987724e+19
54.800000000000004,6.0218648905751944e+23,1.0980815090779798e+19
55.2,6.021863904386157e+23,1.1054699070783769e+19
55.6,6.021862918197282e+23,1.1128497044205933e+19
56.0,6.0218619320085675e+23,1.1202209111145652e+19
56.400000000000006,6.0218609458200156e+23,1.1275835371587613e+19
56.800000000000004,6.021859959631624e+23,1.1349375925400175e+19
57.2,6.021858973443395e+23,1.1422830872335505e+19
57.6,6.021857987255327e+23,1.1496200312029735e+19
58.0,6.0218570010674205e+23,1.1569484344003072e+19
58.400000000000006,6.021856014879675e+23,1.1642683067659964e+19
58.800000000000004,6.0218550286920916e+23,1.1715796582289224e+19
59.2,6.02185404250467e+23,1.1788824987064168e+19
59.6,6.02185305631741e+23,1.1861768381042766e+19
60.0,6.0218520701303106e+23,1.1934626863167769e+19
60.400000000000006,6.021851083943373e+23,1.2007400532266848e+19
60.800000000000004,6.021850097756597e+23,1.2080089487052737e+19
61.2,6.0218491115699826e+23,1.2152693826123364e+19
61.6,6.02184812538353e+23,1.2225213647962001e+19
62.0,6.021847139197238e+23,1.2297649050937385e+19
62.400000000000006,6.021846153011108e+23,1.237000013330387e+19
62.800000000000004,6.02184516682514e+23,1.2442266993201545e+19
63.2,6.021844180639333e+23,1.2514449728656396e+19
63.6,6.021843194453688e+23,1.2586548437580423e+19
64.0,6.0218422082682035e+23,1.2658563217771786e+19
64.4,6.0218412220828815e+23,1.2730494166914937e+19
64.8,6.0218402358977206e+23,1.2802341382580752e+19
65.2,6.021839249712721e+23,1.287410496222668e+19
65.60000000000001,6.021838263527883e+23,1.2945785003196867e+19
66.0,6.021837277343207e+23,1.301738160272229e+19
66.4,6.021836291158692e+23,1.3088894857920907e+19
66.8,6.0218353049743386e+23,1.3160324865797773e+19
67.2,6.021834318790147e+23,1.3231671723245193e+19
67.60000000000001,6.0218333326061165e+23,1.330293552704284e+19
68.0,6.0218323464222475e+23,1.33741163738579e+19
68.4,6.02183136023854e+23,1.3445214360245207e+19
68.8,6.0218303740549945e+23,1.3516229582647366e+19
69.2,6.02182938787161e+23,1.35871621373949e+19
69.60000000000001,6.021828401688387e+23,1.3658012120706384e+19
70.0,6.021827415505326e+23,1.3728779628688554e+19
70.4,6.021826429322426e+23,1.3799464757336482e+19
70.8,6.021825443139688e+23,1.3870067602533669e+19
71.2,6.021824456957111e+23,1.3940588260052208e+19
71.60000000000001,6.0218234707746956e+23,1.401102682555289e+19
72.0,6.021822484592442e+23,1.408138339458536e+19
72.4,6.021821498410349e+23,1.4151658062586272e+19
72.8,6.021820512228419e+23,1.4221850924852083e+19
73.2,6.021819526046649e+23,1.429196207658569e+19
73.60000000000001,6.0218185398650414e+23,1.4361991612889039e+19
74.0,6.021817553683595e+23,1.4431939628753365e+19
74.4,6.02181656750231e+23,1.4501806219059337e+19
74.8,6.021815581321187e+23,1.4571591478577164e+19
75.2,6.021814595140225e+23,1.464129550196673e+19
75.60000000000001,6.021813608959425e+23,1.471091838377772e+19
76.0,6.0218126227787866e+23,1.4780460218449736e+19
76.4,6.021811636598309e+23,1.4849921100312443e+19
76.80000000000001,6.0218106504179935e+23,1.4919301123585667e+19
77.2,6.021809664237839e+23,1.498860038237953e+19
77.60000000000001,6.021808678057847e+23,1.5057818970694588e+19
78.0,6.0218076918780156e+23,1.5126956982421932e+19
78.4,6.0218067056983455e+23,1.519601451134333e+19
78.80000000000001,6.021805719518837e+23,1.526499165113133e+19
79.2,6.0218047333394905e+23,1.5333888495349408e+19
79.60000000000001,6.0218037471603056e+23,1.5402705137452075e+19
80.0,6.021802760981282e+23,1.5471441670784995e+19
80.4,6.02180177480242e+23,1.5540098188585128e+19
80.80000000000001,6.021800788623719e+23,1.5608674783980825e+19
81.2,6.02179980244518e+23,1.5677171549991973e+19
81.60000000000001,6.021798816266802e+23,1.5745588579530107e+19
82.0,6.021797830088586e+23,1.5813925965398524e+19
82.4,6.021796843910531e+23,1.5882183800292422e+19
82.80000000000001,6.021795857732638e+23,1.5950362176799005e+19
83.2,6.021794871554906e+23,1.6018461187397603e+19
83.60000000000001,6.021793885377336e+23,1.608648092445981e+19
84.0,6.0217928991999274e+23,1.6154421480249586e+19
84.4,6.021791913022681e+23,1.622228294692338e+19
84.80000000000001,6.021790926845595e+23,1.6290065416530258e+19
85.2,6.021789940668671e+23,1.635776898101201e+19
85.60000000000001,6.021788954491908e+23,1.6425393732203289e+19
86.0,6.021787968315307e+23,1.6492939761831694e+19
86.4,6.0217869821388674e+23,1.6560407161517937e+19
86.80000000000001,6.021785995962589e+23,1.6627796022775914e+19
87.2,6.021785009786472e+23,1.6695106437012855e+19
87.60000000000001,6.0217840236105174e+23,1.676233849552943e+19
88.0,6.021783037434724e+23,1.682949228951986e+19
88.4,6.021782051259092e+23,1.6896567910072056e+19
88.80000000000001,6.021781065083621e+23,1.6963565448167709e+19
89.2,6.021780078908312e+23,1.7030484994682421e+19
89.60000000000001,6.0217790927331646e+23,1.7097326640385976e+19
90.0,6.021778106558178e+23,1.7164090475967324e+19
90.4,6.021777120383354e+23,1.7230776592005861e+19
90.80000000000001,6.021776134208691e+23,1.7297385078958375e+19
91.2,6.021775148034189e+23,1.736391602717635e+19
91.60000000000001,6.021774161859849e+23,1.7430369526906094e+19
92.0,6.0217731756856706e+23,1.7496745668288844e+19
92.4,6.021772189511653e+23,1.756304454136091e+19
92.80000000000001,6.021771203337798e+23,1.7629266236053772e+19
93.2,6.021770217164104e+23,1.7695410842194207e+19
93.60000000000001,6.021769230990571e+23,1.7761478449504416e+19
94.0,6.0217682448172004e+23,1.7827469147602133e+19
94.4,6.021767258643991e+23,1.7893383026000759e+19
94.80000000000001,6.0217662724709425e+23,1.795922017410946e+19
95.2,6.0217652862980564e+23,1.8024980681233302e+19
95.60000000000001,6.021764300125331e+23,1.8090664636573366e+19
96.0,6.0217633139527675e+23,1.8156272129226865e+19
96.4,6.021762327780365e+23,1.822180324818726e+19
96.80000000000001,6.021761341608125e+23,1.8287258082344389e+19
97.2,6.021760355436046e+23,1.8352636720484563e+19
97.60000000000001,6.0217593692641285e+23,1.8417939251290712e+19
98.0,6.0217583830923725e+23,1.8483165763342475e+19
98.4,6.0217573969207777e+23,1.8548316345116344e+19
98.80000000000001,6.021756410749345e+23,1.861339108498576e+19
99.2,6.021755424578074e+23,1.867839007122123e+19
99.60000000000001,6.0217544384069634e+23,1.8743313391990477e+19
100.0,6.021753452236015e+23,1.8808161135358493e+19
100.4,6.021752466065228e+23,1.8872933389287727e+19
100.80000000000001,6.021751479894603e+23,1.8937630241638154e+19
101.2,6.021750493724139e+23,1.90022517801674e+19
101.60000000000001,6.0217495075538363e+23,1.9066798092530872e+19
102.0,6.021748521383695e+23,1.9131269266281857e+19
102.4,6.0217475352137155e+23,1.919566538887165e+19
102.80000000000001,6.0217465490438976e+23,1.9259986547649663e+19
103.2,6.021745562874241e+23,1.932423282986353e+19
103.60000000000001,6.021744576704746e+23,1.938840432265925e+19
104.0,6.0217435905354125e+23,1.945250111308127e+19
104.4,6.021742604366241e+23,1.951652328807263e+19
104.80000000000001,6.0217416181972305e+23,1.958047093447504e+19
105.2,6.021740632028381e+23,1.9644344139029025e+19
105.60000000000001,6.021739645859694e+23,1.970814298837404e+19
106.0,6.021738659691168e+23,1.9771867569048556e+19
106.4,6.021737673522804e+23,1.98355179674902e+19
106.80000000000001,6.0217366873546005e+23,1.9899094270035853e+19
107.2,6.021735701186559e+23,1.996259656293322e+19
107.60000000000001,6.021734715018679e+23,2.0026024932338823e+19
108.0,6.021733728850961e+23,2.0089379464291377e+19
108.4,6.021732742683404e+23,2.015266024472916e+19
108.80000000000001,6.021731756516008e+23,2.0215867359490433e+19
109.2,6.0217307703487744e+23,2.0279000894313538e+19
109.60000000000001,6.021729784181702e+23,2.034206093483703e+19
110.0,6.0217287980147907e+23,2.0405047566599795e+19
110.4,6.021727811848042e+23,2.046796087504114e+19
110.80000000000001,6.021726825681453e+23,2.053080094550094e+19
111.2,6.021725839515027e+23,2.059356786321972e+19
111.60000000000001,6.021724853348762e+23,2.0656261713338814e+19
112.0,6.0217238671826586e+23,2.0718882580900434e+19
112.4,6.021722881016717e+23,2.078143055084782e+19
112.80000000000001,6.0217218948509364e+23,2.0843905708025328e+19
113.2,6.0217209086853176e+23,2.0906308137178563e+19
113.60000000000001,6.0217199225198605e+23,2.0968637922954494e+19
114.0,6.0217189363545644e+23,2.1030895149901545e+19
114.4,6.02171795018943e+23,2.1093079902469743e+19
114.80000000000001,6.021716964024457e+23,2.1155192265010807e+19
115.2,6.0217159778596454e+23,2.121723232177826e+19
115.60000000000001,6.0217149916949956e+23,2.127920015692758e+19
116.0,6.0217140055305076e+23,2.134109585451625e+19
116.4,6.0217130193661806e+23,2.1402919498503934e+19
116.80000000000001,6.021712033202015e+23,2.1464671172752556e+19
117.2,6.021711047038011e+23,2.152635096102641e+19
117.60000000000001,6.021710060874169e+23,2.15879589469923e+19
118.0,6.021709074710488e+23,2.164949521421962e+19
118.4,6.021708088546968e+23,2.17109598461805e+19
118.80000000000001,6.0217071023836103e+23,2.1772352926249886e+19
119.2,6.021706116220414e+23,2.1833674537705673e+19
119.60000000000001,6.02170513005738e+23,2.1894924763728814e+19
120.0,6.021704143894506e+23,2.195610368740343e+19
120.4,6.021703157731794e+23,2.2017211391716913e+19
120.80000000000001,6.021702171569244e+23,2.2078247959560057e+19
121.2,6.021701185406855e+23,2.2139213473727152e+19
121.60000000000001,6.021700199244628e+23,2.2200108016916107e+19
122.0,6.021699213082562e+23,2.226093167172856e+19
122.4,6.0216982269206575e+23,2.232168452066997e+19
122.80000000000001,6.021697240758915e+23,2.238236664614976e+19
123.2,6.0216962545973333e+23,2.2442978130481406e+19
123.60000000000001,6.0216952684359135e+23,2.2503519055882555e+19
124.0,6.021694282274655e+23,2.2563989504475128e+19
124.4,6.0216932961135584e+23,2.2624389558286696e+19
124.80000000000001,6.021692309952623e+23,2.268471929925281e+19
125.2,6.0216913237918495e+23,2.2744978809209876e+19
125.60000000000001,6.021690337631237e+23,2.2805168169898693e+19
126.0,6.021689351470786e+23,2.28652874629649e+19
126.4,6.0216883653104965e+23,2.2925336769959117e+19
126.80000000000001,6.021687379150369e+23,2.2985316172337046e+19
127.2,6.021686392990402e+23,2.304522575145957e+19
127.60000000000001,6.021685406830598e+23,2.3105065588592886e+19
128.0,6.021684420670954e+23,2.3164835764908597e+19
128.4,6.0216834345114726e+23,2.3224536361483825e+19
128.8,6.0216824483521526e+23,2.328416745930133e+19
129.20000000000002,6.021681462192994e+23,2.33437291392496e+19
129.6,6.0216804760339965e+23,2.3403221482122977e+19
130.0,6.0216794898751603e+23,2.346264456862177e+19
130.4,6.021678503716486e+23,2.352199847935235e+19
130.8,6.021677517557973e+23,2.3581283294827254e+19
131.20000000000002,6.0216765313996217e+23,2.364049909546532e+19
131.6,6.021675545241432e+23,2.3699645961591767e+19
132.0,6.0216745590834036e+23,2.375872397343833e+19
132.4,6.021673572925537e+23,2.381773321114334e+19
132.8,6.021672586767832e+23,2.387667375475186e+19
133.20000000000002,6.0216716006102876e+23,2.393554568421577e+19
133.6,6.021670614452906e+23,2.3994349079393882e+19
134.0,6.021669628295685e+23,2.4053084020052066e+19
134.4,6.021668642138625e+23,2.411175058586333e+19
134.8,6.021667655981728e+23,2.417034885640794e+19
135.20000000000002,6.0216666698249914e+23,2.422887891117353e+19
135.6,6.021665683668416e+23,2.42873408295552e+19
136.0,6.0216646975120034e+23,2.4345734690855645e+19
136.4,6.0216637113557516e+23,2.440406057428523e+19
136.8,6.021662725199661e+23,2.4462318558962115e+19
137.20000000000002,6.0216617390437326e+23,2.452050872391237e+19
137.6,6.0216607528879647e+23,2.457863114807005e+19
138.0,6.021659766732359e+23,2.4636685910277358e+19
138.4,6.021658780576915e+23,2.469467308928468e+19
138.8,6.021657794421632e+23,2.475259276375075e+19
139.20000000000002,6.021656808266511e+23,2.4810445012242715e+19
139.6,6.021655822111551e+23,2.4868229913236267e+19
140.0,6.021654835956753e+23,2.4925947545115746e+19
140.4,6.021653849802116e+23,2.498359798617424e+19
140.8,6.02165286364764e+23,2.5041181314613674e+19
141.20000000000002,6.0216518774933266e+23,2.509869760854495e+19
141.6,6.021650891339175e+23,2.515614694598847e+19
142.0,6.021649905185184e+23,2.521352940487738e+19
142.4,6.021648919031355e+23,2.527084506305143e+19
142.8,6.0216479328776866e+23,2.532809399825894e+19
143.20000000000002,6.02164694672418e+23,2.5385276288157737e+19
143.6,6.0216459605708356e+23,2.5442392010315248e+19
144.0,6.021644974417653e+23,2.5499441242208637e+19
144.4,6.021643988264631e+23,2.5556424061224882e+19
144.8,6.02164300211177e+23,2.5613340544660886e+19
145.20000000000002,6.021642015959072e+23,2.567019076972358e+19
145.6,6.0216410298065345e+23,2.5726974813530046e+19
146.0,6.021640043654158e+23,2.57836927531076e+19
