phi,energy,time,N_Ra226,N_Ra225,N_Ac225
99451095213110.97,2394.527743682206,13.151436025170604,6.021995994408188e+23,9046116959241880.0,114324054903144.11
925143572367913.9,0.23021262215488572,223.2416021198051,6.020458280131002e+23,1.1975488991887786e+20,2.245673296925859e+19
187889773016672.3,0.4503607272118288,227.01551096032193,6.021714577996214e+23,1.762492327704037e+19,3.352793145187827e+18
87093008221318.9,42353.82727168665,81.34805789301807,6.021975672203118e+23,1.0917084188412124e+16,816692347145444.2
92665452446160.06,0.2012527481512718,378.8461333851567,6.0216190246684876e+23,1.9000475649959002e+19,5.483261668340041e+18
14730266802197.385,50.68017006551928,426.24317867640707,6.021870124805313e+23,2.0574652040988896e+17,6.486784183476611e+16
355615952314470.2,1.5776093349171443,58.43982971117009,6.0219258925361446e+23,5.362108895279842e+18,2.924504716173405e+17
662140541291205.0,305.57357087346645,66.97403730089349,6.021971372201699e+23,8.155043718062975e+17,5.069361386432338e+16
35920670877556.836,0.05974437828398899,157.46070693146805,6.021873819982452e+23,6.835735241020136e+18,9.427334791020192e+17
229295207894189.75,8.932226915911754,33.61381600942899,6.021981156409068e+23,8.558036693191862e+17,2.728049308651725e+16
117430455832822.58,75345.28345933111,486.54909246293374,6.021854487303977e+23,4.619271930298974e+16,1.601811913011083e+16
94067708554995.75,11.066849442343324,408.8223569765193,6.021838707655295e+23,2.7365254317777894e+18,8.364846554251726e+17
11660181438609.332,0.06731442069213554,111.41189878241856,6.021949680011617e+23,1.5436333399339935e+18,1.551310054875713e+17
44043646227649.39,10.385388078200135,270.7739580899535,6.0219067311500006e+23,9.869430849668317e+17,2.178257345725184e+17
113363845264070.6,2.419179922765663,258.5751000100889,6.0218584464380496e+23,5.080846265141848e+18,1.0791358679655421e+18
506701321473820.6,0.8839640878148585,210.4535803878197,6.0215486038809336e+23,3.192371139243863e+19,5.689276065289443e+18
129950998842978.33,918.2438821666478,298.3192856282595,6.0219068332232646e+23,3.330133831406406e+17,7.958346064030872e+16
276642024434049.97,0.5713260799707235,215.006321222171,6.021666284565216e+23,2.2058158857330192e+19,4.004531184172226e+18
732041877349286.5,0.24882074773469717,327.614557831238,6.0202547071606894e+23,1.219771019749084e+20,3.143113267832163e+19
25548557432877.277,985.939896109109,209.12729151453357,6.021937179085543e+23,4.795232609723663e+16,8499013557045138.0
944441813998664.5,6179.9437166720045,127.3322309179967,6.021956861389474e+23,4.646651904927706e+17,5.282897076985842e+16
723544793736800.6,5887.660618857502,198.70244619766478,6.0219344423025966e+23,5.330335031037384e+17,9.03611021641876e+16
20774337758729.227,4.408882770909328,215.3401744054108,6.021928610441837e+23,5.970479471954528e+17,1.0853510627464046e+17
56784253225183.86,21243.50056611508,150.55800304336893,6.0219549918223975e+23,1.7438131774629328e+16,2309660705277382.5
134084758007943.17,15.91648849145774,400.6622292146676,6.021834603893382e+23,3.2096700828453627e+18,9.664078794567096e+17
45939525912398.82,1.796238885426342,169.20222679710136,6.021929764115181e+23,1.6949155160337436e+18,2.4930585158315814e+17
257661311117125.5,0.5877023211711141,443.8424504171452,6.021356599921421e+23,3.42912258750149e+19,1.113620131167961e+19
11849263599341.283,0.05287046634898891,38.25296261602669,6.0219818584921826e+23,6.512701080026162e+17,2.3555157601154264e+16
95154251507478.84,9.881033199759363,386.25893289553443,6.021844969025777e+23,2.8211838352539085e+18,8.26259458147476e+17
64233749472249.78,234428.0981576372,447.3959890026408,6.021866649348475e+23,1.3604174002322694e+16,4443562244114782.5
14789651074352.31,760958.375384635,133.757604099066,6.021960185010369e+23,684737949955268.1,81442452887039.11
391149313344788.8,32141.221695199078,455.2156523805388,6.0218611213212934e+23,2.261687043344681e+17,7.480384850087099e+16
68475321461910.36,5547.365610241329,267.50100738156436,6.021919547064463e+23,6.57791542188157e+16,1.4372095434822918e+16
253328919366762.4,0.028491945267033168,284.79627716904923,6.0204503281974535e+23,1.1257425005251984e+20,2.590390466155598e+19
867116463513651.5,0.0633965410222281,179.27212094060542,6.0198307699619194e+23,1.7873702058749693e+20,2.7678665585641116e+19
188949392978211.78,1023.2794590221462,280.93808428400024,6.0219107030437215e+23,4.3860520576933203e+17,9.979597931920549e+16
377593582049622.2,207944.48551769147,59.768011034366545,6.021982042940078e+23,1.6018379898174284e+16,892735697124870.2
306520971898812.75,607.9043007510536,128.3934891213608,6.021956317809922e+23,4.843687943720532e+17,5.549039522467389e+16
669697407036954.0,4939.661189384176,219.5967120654354,6.0219274741977094e+23,5.841319538157313e+17,1.0799417603735776e+17
295976302922542.7,121.28116723786438,414.9343817508658,6.0218382888548155e+23,2.6262864289536225e+18,8.117097836271924e+17
180165317360816.66,73.59431692989365,279.0508113223209,6.021896864686794e+23,1.5515631223818079e+18,3.510732795156903e+17
25430327934231.105,30.780791608570876,225.98588496287545,6.021929194543953e+23,2.8750954611750538e+17,5.448014395122114e+16
26558637075657.86,162.14522901720167,25.613159672786203,6.0219921942033803e+23,1.7864619305784484e+16,436175241379893.1
152121640357682.28,475.18573621396473,461.95493973909277,6.0218514700429924e+23,7.30029928253635e+17,2.4401290300596317e+17
59566224422055.875,0.11598545185785568,11.08804356142129,6.0219900524918e+23,6.576691933510812e+17,7016884338566996.0
31778956941137.11,0.4984870243115486,221.59600194019504,6.021899862947888e+23,2.779373652942268e+18,5.178717584389659e+17
540007185778089.2,770.2554606060214,21.774919026958994,6.021992067327374e+23,1.4220627633807702e+17,2959078361526251.0
244885138802875.38,490.88459477504443,162.13615654959028,6.021945604417712e+23,5.271157060901103e+17,7.463127469169675e+16
342211139023457.25,0.5726967689449348,394.2255020058157,6.0212716510543133e+23,4.2721316296124555e+19,1.2707301581667721e+19
285790811148875.06,0.12888288932050518,457.0447417019647,6.020616977383873e+23,8.271875727825738e+19,2.743869306440799e+19
49091061006176.72,1.3098786720715765,440.64023093990613,6.0218040786151256e+23,4.356429638529939e+18,1.4073189932097981e+18
23975599152700.188,5007.187329590148,457.2703664066289,6.0218633831010635e+23,3.5221726563348212e+16,1.1687143482508526e+16
55462042288653.19,57010.54511784412,471.5347571152208,6.0218592936314754e+23,2.4608305160980836e+16,8346596863879289.0
134942182599358.89,787.629886296811,409.6212364611433,6.021871343550444e+23,4.659233327757409e+17,1.4262817738328707e+17
141925462582486.4,1019.3436487692561,154.99626924332856,6.021951510295144e+23,2.0399819995015142e+17,2.7737114398453784e+16
10823972242928.348,32721.163592813355,371.9381841013224,6.021889232910336e+23,5435840644132575.0,1546725965827623.0
23200133226579.688,1.1907066577235017,158.12639123974625,6.0219414165232474e+23,9.925358463010177e+17,1.374031623829999e+17
11480114836108.299,44.94096263683361,176.92240801965383,6.021946308160701e+23,8.791802332435298e+16,1.3455581557088424e+16
385983466310204.0,578.7886101920275,403.28197639944784,6.021857803262516e+23,1.538805666743495e+18,4.6559480997117965e+17
29106038485804.656,0.08848725894350258,375.9167861795092,6.021762048380226e+23,8.953212432037661e+18,2.568456612477959e+18
337322787620112.4,756252.7286982943,160.42657500025183,6.021952042635661e+23,1.833260801017324e+16,2571042028989009.0
36479521821480.22,111084.7616088572,159.08450269898583,6.021952595663545e+23,5135956095812258.0,714874290650979.0
33529838668527.234,0.03623670664893032,449.5563921073515,6.0215947940730935e+23,1.811642552023676e+19,5.938116107404135e+18
897858202406442.6,32.140851597345346,422.51376474547493,6.0216448987590376e+23,1.5658533862296418e+19,4.904967180132551e+18
451036468860650.8,90025.36640990678,452.64373956788,6.021862958732794e+23,1.552800064019252e+17,5.114867267625223e+16
24682263638878.79,61.828100264240945,25.45906266501833,6.02199214924646e+23,2.6728567318562176e+16,648732138666700.4
909041136935771.8,36.011441136321565,241.96598448430504,6.021802351355865e+23,1.002887318300013e+19,2.0142759129893425e+18
56924906057512.91,115390.58759304372,307.75333349183893,6.021908234030955e+23,1.331420968529586e+16,3263055358010395.0
480441205954619.75,23.217171860551876,16.896237786580304,6.021989196726859e+23,5.6812800240617894e+17,9202099506915194.0
12085610901358.121,0.22067192975153277,181.78966801128814,6.0219298667048614e+23,1.3511497099385326e+18,2.1182076361488467e+17
18358974920315.344,4.3846537966017864,354.21859782921786,6.021883937307202e+23,7.701337530290344e+17,2.1101420316860787e+17
39871491031916.62,75.90502137192311,307.0940742602608,6.0219037896900164e+23,3.6303129804990637e+17,8.88181224658674e+16
27179823552653.246,0.063088155237808,81.38997895095136,6.021945588359045e+23,2.792851666217552e+18,2.090316772454117e+17
841958398863708.0,171.77732063315557,251.99536943262274,6.0218695156994403e+23,4.389868911259841e+18,9.124354798751498e+17
108365856058392.36,570341.5576096916,364.4424333410275,6.021891360702515e+23,1.285465725416231e+16,3600756332156569.5
31505805184756.152,282.5983008507701,13.466035972742,6.021995905891355e+23,8538923419228115.0,110473159822134.58
260349759971768.47,2.176511277802348,221.48564677643876,6.021800108752892e+23,1.089265868168814e+19,2.028731029389969e+18
113237325822794.92,68.4083111075032,374.57994143868495,6.0218709444035784e+23,1.2497512956047455e+18,3.5754426071006246e+17
861639611068327.6,209.41206026379,303.36904942732565,6.0218477999145635e+23,4.681159574462434e+18,1.1340374017327916e+18
14937830597302.627,0.12738129358511222,278.5150454181033,6.021877155571795e+23,3.0876281471435715e+18,6.975341942444684e+17
13721434581206.014,94167.15425979123,408.5236578226541,6.021878358659197e+23,4325279809714043.5,1321402672019302.5
98554756580325.5,1.7324471456474206,138.11754974845098,6.0219234461161526e+23,3.1100609009393725e+18,3.809036655693845e+17
275644351757945.16,1523.4743578564035,14.30843754782952,6.021995395327306e+23,3.416081917235637e+16,469351054491458.2
78820142028533.61,13557.482330748917,463.65613922178056,6.0218609379149484e+23,7.097664189073845e+16,2.3786430809553716e+16
57221402010524.664,0.21638486664646672,329.66566764705334,6.021762887977105e+23,1.027138694439104e+19,2.659773766546277e+18
13420410996950.115,1088.8158310857832,381.4378365363643,6.021885950313813e+23,3.758544942385169e+16,1.0903138846938112e+16
46426908219432.76,124321.19829023254,348.85722760193056,6.02189602070157e+23,1.1443574830806696e+16,3098399076347697.5
25138184963631.207,0.1588513493665422,252.3899838902984,6.0218703218742366e+23,4.3152828159062825e+18,8.981133288743055e+17
38913774284036.76,387.95187393192606,143.44934693515108,6.02195633700614e+23,8.480948873534154e+16,1.0751269497902846e+16
442753962817330.0,6.121934454255765,42.099031736783175,6.021961648299821e+23,2.4797217531055104e+18,9.845943862456778e+16
15839924255410.213,32.4003386442511,49.74020054461646,6.021984722472792e+23,4.523045293720542e+16,2111447819634617.8
32227419429398.777,119.08219754383519,432.2848519422819,6.02186697390978e+23,2.9632012652384006e+17,9.439496946715293e+16
39327901192641.12,5.527061893295045,259.13061344905225,6.021908022466812e+23,1.1680697796797402e+18,2.485352257551192e+17
399426125776443.9,1235.160212515193,27.510825245127116,6.021990740816822e+23,1.0436705242527666e+17,2733623876559508.5
11028979951840.79,220.5860643517101,214.5551252821703,6.021935600865756e+23,4.468011290971679e+16,8096649351189318.0
16909841318778.639,60.213795211635,399.31338641917705,6.02187817956718e+23,2.0764834773523014e+17,6.236299699913562e+16
362244434871822.75,107.25474945462943,147.33284046864173,6.0219384881655126e+23,1.53661787578112e+18,1.995743429964918e+17
19285847869675.26,0.3731861719895634,336.0893856601584,6.021863608557329e+23,2.6725761011533256e+18,7.027154302245078e+17
137236033757423.5,39.296449771128806,330.16499252635094,6.0218769652154536e+23,1.8299931727236695e+18,4.7444424653145e+17
451508691557732.25,16049.150343759562,495.5386820017732,6.021846471786434e+23,3.890622266859666e+17,1.3665186936368573e+17
20882714854402.914,1.6803651972242564,82.4365568063759,6.0219709141149466e+23,4.2070847356797734e+17,3.18714563167891e+16
53078614922261.055,245899.40701083431,341.37725445579173,6.021898278966139e+23,9162041642754772.0,2438848221874746.5
181147984858319.1,18569.34443197384,497.8355041426592,6.021849573518047e+23,1.4551530145146755e+17,5.127464501308208e+16
70536788778801.02,172347.25030147005,20.984381210392712,6.021993742659746e+23,1197623322043365.0,24028099621457.375
285080048468490.9,0.6317933572414635,101.81469836455703,6.021844530325825e+23,1.135919749472588e+19,1.0496766351724136e+18
64572715851481.984,82.2411833735779,158.24754239965333,6.0219490420869275e+23,3.326189608715231e+17,4.6078302732170984e+16
324806327430936.0,3.484350098562059,192.83445661269315,6.021827596515917e+23,9.596556379717536e+18,1.584693292974623e+18
17979380349914.664,3.3839795889305484,270.2704200216098,6.021910511325799e+23,7.048007134409484e+17,1.5531481065936403e+17
18091005188856.16,0.647461610182831,140.9749759770336,6.0219471804046284e+23,9.506540370690519e+17,1.1862281532424304e+17
237103558122435.44,1.2757044428840882,239.42134788639657,6.021756469482719e+23,1.3783094492966679e+19,2.7436064008766874e+18
860525989198657.0,323.1117987402629,418.2190434790138,6.0218069091946174e+23,4.70212369164428e+18,1.461821190270228e+18
369315492692623.7,1.2314421021764157,422.7416463384864,6.021391962046966e+23,3.291572402022355e+19,1.0314888672077214e+19
379776039744263.75,0.10443983731017506,297.09205343769287,6.0207149830035896e+23,9.096730291256813e+19,2.166736003026191e+19
14231421870375.385,5.440570283430169,379.82437281136725,6.021879018713392e+23,5.622278555791072e+17,1.6256955760747654e+17
523337886046042.7,246028.36575288608,348.61775472158075,6.0218949886263366e+23,9.165272663236069e+16,2.4802061646421612e+16
123812266091267.61,0.03219207451907892,475.77004233158294,6.020733159349679e+23,7.349801549674435e+19,2.508828300217331e+19
237807859866434.8,117.37939106017224,185.2842154113426,6.021930917695128e+23,1.1711812598470272e+18,1.8672065949455286e+17
125722835351803.92,0.3872920511034044,328.49066407909703,6.021674773611762e+23,1.6825464123617511e+19,4.3446279897057495e+18
99013903145033.62,0.49011096975449364,355.5061536985708,6.021721855678536e+23,1.2454414342614233e+19,3.422138787983088e+18
13230467841570.322,7.1437310587402205,414.27322100922987,6.021869681028173e+23,4.832196808278431e+17,1.4917230016249504e+17
30244667520925.73,302433.079181344,145.30897736787355,6.0219567276321974e+23,2387326432640658.0,306199777625505.4
188188408751813.62,28760.700888396274,466.27037510308674,6.021859462241195e+23,1.1675228367821723e+17,3.928463387222133e+16
550894948162350.4,0.17806076954897104,53.33000035549841,6.021745479503018e+23,2.2672883112597512e+19,1.1321870531645713e+18
633267100566312.1,19937.506256062425,361.1437471588436,6.0218869698111164e+23,3.9926851818519885e+17,1.110561944864921e+17
114371504142371.44,58.50157702268047,144.58650703809002,6.0219495591237966e+23,6.463036407931745e+17,8.252120688093349e+16
826095193977311.0,12.938674659842851,423.41441171270685,6.0215406838681094e+23,2.2737875081877615e+19,7.133768123871356e+18
104630838166082.22,203.6096188465356,316.61407632707414,6.021897815947969e+23,5.947441667528061e+17,1.4912565058844166e+17
55667094731852.07,691.6482033464299,288.16410296858595,6.021912149882952e+23,1.601944170155806e+17,3.721691904732416e+16
