epoch,phase,data_mse,physics_mse,supervised_total,unsupervised_total,grad_norm
1,pretrain,0.0,0.0010840015401944578,0.0,5.817133778318499,15.337103843688965
2,pretrain,0.0,0.00017271614650332976,0.0,13.699854139847345,31.43688201904297
3,pretrain,0.0,0.006859409559190231,0.0,8.931899808035496,26.70372200012207
4,pretrain,0.0,0.0010459680064649434,0.0,11.83732025750079,25.162494659423828
5,pretrain,0.0,0.0007777138728823167,0.0,16.342000377300852,14.27241325378418
6,pretrain,0.0,0.00012211559997444126,0.0,13.859300277852322,23.217483520507812
7,pretrain,0.0,0.016562883276856965,0.0,9.35013312857794,15.419384956359863
8,pretrain,0.0,0.00014020470903441357,0.0,8.56697444983745,15.842227935791016
9,pretrain,0.0,7.192784862562968e-05,0.0,14.53547498434356,50.507511138916016
10,pretrain,0.0,8.432043307821434e-05,0.0,9.143063049227804,7.38773775100708
11,pretrain,0.0,0.004728645041450819,0.0,10.774388852324154,21.14131736755371
12,pretrain,0.0,9.826305310979714e-05,0.0,13.151432484692917,34.143619537353516
13,pretrain,0.0,0.024690289161494215,0.0,16.31478324203029,25.765018463134766
14,pretrain,0.0,0.001959226428354271,0.0,5.209994648720437,6.480169773101807
15,pretrain,0.0,2.9636986442098028e-05,0.0,6.893217233540466,4.626242637634277
16,pretrain,0.0,0.00014022059973225473,0.0,13.138439084030617,23.417509078979492
17,pretrain,0.0,0.00020136236109104805,0.0,8.591197441719059,28.671358108520508
18,pretrain,0.0,0.002981451804513533,0.0,11.876582895356963,14.394331932067871
19,pretrain,0.0,2.1644409806986832e-05,0.0,15.889840648144107,30.842744827270508
20,pretrain,0.0,0.003705294812971188,0.0,22.372957732947324,25.768272399902344
21,pretrain,0.0,0.0039759592467314845,0.0,14.77903416695901,26.73241424560547
22,pretrain,0.0,0.00011262794984347302,0.0,14.279398209325231,24.802553176879883
23,pretrain,0.0,0.011318993028365539,0.0,10.98949353784333,13.627480506896973
24,pretrain,0.0,0.006245914403360107,0.0,13.66827835434482,25.337724685668945
25,pretrain,0.0,0.00015748902377282453,0.0,17.481720940656988,21.91904067993164
26,pretrain,0.0,0.001311597383147783,0.0,8.88378349185998,21.013750076293945
27,pretrain,0.0,0.0002463542092816001,0.0,16.55850248356156,13.096038818359375
28,pretrain,0.0,0.0020080641652155907,0.0,17.689359730927205,19.22330093383789
29,pretrain,0.0,0.00022202307821589265,0.0,6.384460879063311,16.95759391784668
30,pretrain,0.0,0.014376876164922036,0.0,13.582927943296426,17.517702102661133
31,pretrain,0.0,0.011112286498054331,0.0,12.502222610709401,32.54880905151367
32,pretrain,0.0,0.00027789569218240943,0.0,14.015613167947311,20.312915802001953
33,pretrain,0.0,0.0001828703665690027,0.0,14.364542212752681,11.004222869873047
34,pretrain,0.0,0.0036665537783184634,0.0,8.053860634968453,15.072383880615234
35,pretrain,0.0,7.303360928333752e-05,0.0,18.46476535566992,32.25069808959961
36,pretrain,0.0,5.566570753389984e-05,0.0,8.150751905838181,6.918571472167969
37,pretrain,0.0,0.0001828078941205166,0.0,13.175884063177248,12.937360763549805
38,pretrain,0.0,0.008196984954339345,0.0,10.723462067650754,11.752555847167969
39,pretrain,0.0,3.925588523580261e-05,0.0,14.641215521872397,7.656193256378174
40,pretrain,0.0,0.0017255947584148166,0.0,10.486999274096396,12.738567352294922
41,pretrain,0.0,0.000346986770545556,0.0,11.31052169488087,11.943612098693848
42,pretrain,0.0,0.014788619941977001,0.0,13.522073056459407,23.120256423950195
43,pretrain,0.0,0.0019107598620994508,0.0,11.513207141730103,15.751802444458008
