flux_multiplier,phi_phys,max_rel_err,median_rel_err
0.5,500000000000000.0,0.15194247894999188,0.059870375266332015
0.75,750000000000000.0,0.14052740529074176,0.059662953371432015
1.0,1000000000000000.0,0.13248899188455657,0.05950492093598854
1.25,1250000000000000.0,0.12628941937872037,0.05943752628186025
1.5,1500000000000000.0,0.12124454073210454,0.059442467038847965
